,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date
46,ChimaOk74639619,"I like being myself and standing in the truth, do the right thing every day because that is what everyone needs, be nice to people and help the one u can,",,0,0,2726,1198,29908,"Any man born of woman that say #BIAFRA Will not come this year, corona virus will kill him or her  this year！ https://t.co/JrBd9rpkH1",['BIAFRA'],2020-05-01 23:59:59
47,darkmaul85,"Dando guerra desde 1985.  Viajero del mundo amante de la informatica y de las nuevas tecnologias.Gamer Futbol ,NBA",Mostoles,0,0,1257,176,7866,El documental que comenta Javier Cantón: Rastreando el Origen del Coronavirus de Wuhan - The Epoch Times… https://t.co/N4bcL44gl9,[],2020-05-01 23:59:59
48,AdamesHeredia,LIBRE PENSADOR,SANTO DOMINGO  R D,0,0,304,60,5461,"Trump dice que espera que Estados Unidos ""quede por debajo de la proyección de 100.000 vidas perdidas""… https://t.co/UoTbfrgrWw",[],2020-05-01 23:59:58
49,shopwithoutkids,Chocolate lover. Tech geek. Pizzaiola wanna-be. Resister.,,0,0,104,38,9512,"...the Journal gets the story nonetheless:

669 workers at the plant are positive. 669!

That's over 15% of the adu… https://t.co/ODfZcBfsLC",[],2020-05-01 23:59:58
50,rodrigo_dector,"Reportero jarocho. Todo es a título personal",Veracruz,0,0,3364,3967,24708,"Estos últimos 10 días fueron de luto en la música 🎶 mexicana. Se nos fueron: Arturo Huizar, Tavo Resorte y… https://t.co/jtlZoYakyP",[],2020-05-01 23:59:58
51,marveloussmile,miley cyrus • marvel cinematic universe • and a few other things • fan account • ela/dela • she/her,malibu,0,0,3565,6029,141172,"Uma criança do Quênia, inventou essa maneira de lavar as mãos sem contato e assim evitar a transmissão do coronavir… https://t.co/KYOZMXeGVU",[],2020-05-01 23:59:58
52,broken_glow,"✴Estoy aquí para reírme del mundo✴

∆ℓωαуѕ ϟ.         

No sé... soy trajeada/reborner/rebornista... cómo prefieras llamarlo 😎 ✨A veces dibujo✨",Ciudad del traje ,0,0,804,251,36998,"Anuncio oficialmente los capitanes del Evento benéfico contra el COVID-19, los #CalvoGames.

❤ @auronplay
💙… https://t.co/O9PdxeUMC8",['CalvoGames'],2020-05-01 23:59:58
53,407DJM,"Born to lose, built to win. You can't be broke and happy, so me I'm mad rich... #RipLina #RipDom #HTTR #BeMagic #GatorGang #NLMB",4️⃣0️⃣7️⃣,0,0,312,685,65275,I hope this month is the season finale of Corona.,[],2020-05-01 23:59:58
54,STabbytosavit,"Mother of four, Grandma of four!  #ProudResister 🌊Blue Wave  🥁 #BidenHarris2020 🥁 President Biden VP Harris  #Dodgers ⚾","Tehachapi, Calif.",0,0,35725,35811,281689,"Trump administration blocks public disclosure on coronavirus supplies, financial terms with medical companies, &amp; de… https://t.co/WhLiv3LUhG",[],2020-05-01 23:59:58
55,AndresZambranoC,"Hijo de Dios, hermano en el Espíritu Santo de Cristo Jesús.
Periodista Deportivo, analista y comentarista de futbol en especial.",Ecuador-Guayaquil,0,0,649,688,112665,"▶ OMS advierte a los países que se preparen para un segundo y tercer rebrote de coronavirus

▶LEA + AQUÍ: https://t.co/ghN0ReifEz",[],2020-05-01 23:59:58
56,LytraWilson,Tutor2Tutor/Blogger/ https://tutor2tutor.school.blog #college #university #highereducation,"Florida, USA",0,0,152,204,4575,Dr. Fauci backed controversial Wuhan lab with millions of U.S. dollars for risky coronavirus research https://t.co/i5JscUsUmz,[],2020-05-01 23:59:58
57,samcharms68,that I'm a fun loving girl and loves family and friends,,0,0,66,128,43111,"COVID-19: Broadening social circles will look different based on health risks, Henry says https://t.co/JZ4MOgnDgq",[],2020-05-01 23:59:58
58,RgnLewvanGreens,Twitter account of the Regina-Lewvan electoral district association (EDA) of the @CanadianGreens,"Regina, Saskatchewan",0,0,340,292,2616,"COVID-19 is showing us that cleaners, that grocery workers, that bus drivers, that mail carriers are and have alway… https://t.co/oB8H5D8oVe",[],2020-05-01 23:59:58
59,Danishw75840602,"Lawyer to be 
Speaker 
political thinker 
president ATi Lahore 
Member Almustafa welfare 
student Leader 
تاجدار ختم نبوت زندہ باہ✌",Lahore ,1,1,16,406,5261,"#Covid_19
Exclusive talk with |Renowned Motivationl Speaker |Trainer |Author |
 "" Qasim Ali Shah""
( Today) 2nd May… https://t.co/AXg4pOULts",['Covid_19'],2020-05-01 23:59:58
60,sohailzaf,Die hard Worker of Mian Nawaz Sharif.,United Kingdom,0,0,5030,4743,265524,"China suggests U.S. is ""hiding something"" about its coronavirus response, demands an answer from Trump administrati… https://t.co/gjplRqwt1s",[],2020-05-01 23:59:58
61,canalcatorcemx,Somos el canal público que piensa en ti. Nos encuentras en el 14.1 de TV abierta. También puedes vernos por TV de paga e internet. #Canal14,México,47,24,467,38446,77946,Conferencia de prensa. Informe diario sobre coronavirus COVID-19 en México. 01/05/2020 https://t.co/4mHRZpe0T8,[],2020-05-01 23:59:58
62,Kreativaxmente,"Periodistas UPLA *Publicidad digital para pymes! creación de página web, gestión de redes sociales y sesiones fotográficas http://instagram.com/kreativa.mente/","Viña del Mar, Chile ",1,0,105,21,27,El equipo les desea un feliz #DiaDelTrabajo a todas #pymes  que se esfuerzan superarse 🤜🏼 sobre todo en #pandemia… https://t.co/DAcbvLIbYL,"['DiaDelTrabajo', 'pymes', 'pandemia']",2020-05-01 23:59:58
63,norenim,,"Sausalito, CA",0,0,87,16,877,Can’t have him spouting all that scary science stuff: White House blocking Fauci from testifying before Congress ab… https://t.co/7x8vnUIEQy,[],2020-05-01 23:59:58
64,CandeNaza98,"22 - No uterus, no opinion
#BocaJuniors #Argentina","Buenos Aires, Argentina",0,0,2094,1681,732461,"🇦🇷 | URGENTE - CORONAVIRUS: Se reportan 105 nuevos casos, y ya son 4532 los infectados y 225 los muertos en Argentina.",[],2020-05-01 23:59:58
65,Pauloemersoncrf,,"Santa Helena, Brasil",0,0,805,83,3046,"Em protesto em Brasília, enfermeiros são agredidos por apoiadores de Bolsonaro https://t.co/0rf94v3gxu https://t.co/Kym1viYFg4",[],2020-05-01 23:59:58
66,KBartelt19,"Historian 📚 ⚾️ “The true patriot is one who gives his highest loyalty not to his country as it is, but to what it can and ought to be.” - Albert Camus",,0,0,254,232,5236,#BREAKING https://t.co/iiBcwow6al,['BREAKING'],2020-05-01 23:59:58
67,wanuga,old guy who still hopes.,"Port Huron, MI",0,0,738,456,67652,Check out this cartoon https://t.co/ZWnFY8Gm4U,[],2020-05-01 23:59:58
68,xavier_tata_,"Empresario, Géminis, Divorciado, Ludopata, Amlover, Economista, Testigo de Jehova, Morenista, #Salinista “Todo lo que escriba podrá ser usado en mi contra”",PAIS: MEXICO,0,0,1740,509,77506,"Es más invencible Bartlett que el COVID 19. Si con esto no renuncia, que nadie se queje si afuera nos llaman república bananera.",[],2020-05-01 23:59:58
69,OldManCount,1312 / married to @kitty_burps and she's rad,Buttsville,0,0,555,302,65407,Medical inspector: Federal jail intentionally destroying medical records and hiding extent of coronavirus behind ba… https://t.co/tU8qGxqL93,[],2020-05-01 23:59:58
70,KSBWPhil,KSBW General Assingment Reporter. Links & RTs aren't endorsements. Opinions are my own,"California, USA",0,0,126,2448,3442,BREAKING: FDA authorizes emergency use of remdesivir to treat the most severely ill coronavirus patients. https://t.co/7xuRWiRvEe,[],2020-05-01 23:59:58
71,njq5qd4hCP477fH,‏‏‏‏‏‏‏‏‏‏‏‏‏‏القائد التنفيذي التنظيمي المنظر الاديولوجي المفكر العلمي الملاحظ المتابع السياسي الاستراتيجي ألعودمي لمنظمات بنات الملك سلمان السعودية الأمريكية,المملكة العربية السعودية,0,0,4514,598,87725,"Members of the United Regional Hospital in Wichita Falls, Texas, observe the Spirit of Texoma flyover, May 1, 2020.… https://t.co/CNKPzA6Cgq",[],2020-05-01 23:59:58
72,Timsomor,"Live Long & Prosper If U Can (Don't be fooled by terms like P.O.C or Black & Brown when Laws, Language, & Actions specifically target Black Pple!) FBA not ados!","Maryland, Baltimore",0,0,2151,2251,155766,A nurse died from COVID-19. Her family says elite L.A. care home ordered her to admit a sick man. https://t.co/8bYYTOvS4Q,[],2020-05-01 23:59:58
73,viorgen,,,0,0,43,27,35817,"En #Ecuador, 47 de cada 100 trabajadores son autónomos (sin dependencia laboral) por lo que es prioritario que al v… https://t.co/gOuTmNEoZX",['Ecuador'],2020-05-01 23:59:58
74,baytem2011,🇹🇷,,0,0,551,94,704,Our NATO ally Turkey sent two planes full of medical supplies to the US to he help combat the coronavirus.  As CoCh… https://t.co/U78MAHJncj,[],2020-05-01 23:59:58
75,OneMoreMom1,,,0,0,87,72,5229,"To all of you frauds who claimed shutting down the nation was about helping the “front line” doctors and nurses.

N… https://t.co/OViFb2gW7K",[],2020-05-01 23:59:58
76,alforess,,"Saltillo, Coahuila de Zaragoza",0,0,539,255,21573,"Oigan, ya supieron que el IMSS de Hidalgo le compró al hijo de Bartlett 20 ventiladores a un precio de 31 mdp, casa… https://t.co/nsAXURdv16",[],2020-05-01 23:59:58
77,nataliasrocha,"22 anos, sem rumo, somente empregada e habilitada 😗✌🏻","Minas Gerais, Brasil",1,0,73,255,31612,"@Hue_diego @yayaamiranda Vou negar não que eu li corona ali mesmo, talvez esteja enlouquecendo",[],2020-05-01 23:59:58
78,edithnal,💜live 💜LoVe💜 LaUgH💜,"Kampala, Uganda",0,0,884,859,368,"NTV has killed 52 Ugandans instead of corona. #StaySafeUG
😂😂😂 https://t.co/EratqN8RMv",['StaySafeUG'],2020-05-01 23:59:58
79,flyingasteroid8,Humanity First| Indian by Heart & Soul  | Low tolerance to Bullshit,India,0,0,622,462,99009,"Tirupati Balaji temple, country's richest shrine, ousts 1,300 contract workers.  https://t.co/Q8utlMbAW7",[],2020-05-01 23:59:58
80,LeslyCanoM,"Ciudadana, Politóloga, orgullosamente Unam, comprometida con mejorar mi país, chairos absténganse, #HijasDeLaMx  #𝔏𝔦𝔤𝔞𝔇𝔢𝔊𝔲𝔢𝔯𝔯𝔢𝔯𝔬𝔰",Mexico,2,0,7286,18317,13747,"Quieren saber que lugar ocupa México?  👀👇

https://t.co/V5ecK3o8iL",[],2020-05-01 23:59:58
81,CoronaUpdateBot,"@plutonicindia made me to retweet important updates about #coronavirus

Follow Us for all the related updates worldwide",,0,0,3,1208,630683,"KP #coronavirus testing scorecard.
985 tests conducted yesterday, and a total of 19,543 till date.
A detailed and t… https://t.co/h8ft8qfLIb",['coronavirus'],2020-05-01 23:59:58
82,BirdsMexican,,,0,0,34,12,6891,@FoxNews https://t.co/u30dFJPp1p,[],2020-05-01 23:59:58
83,nelly__est,chaka pero no naca,,0,0,225,12,1536,Por qué se ponen una mascarilla normal y por encima la mascarilla N95? Quieren protegerse contra el covid-19 o drogarse con CO2?,[],2020-05-01 23:59:58
84,rola_ge,"Ing. Civil, Soy pro AMLO, no quiere decir que deba esta acuerdo en todo, personas que lo rodean s corruptos, religión separada estado, justicia y cero impunidad","Distrito Federal, México",0,0,4090,3104,93109,Los Héroes También Lloran: mural dedicado a los médicos que luchan para salvar a pacientes con COVID-19 https://t.co/GECrae9mT9,[],2020-05-01 23:59:58
85,eleni_marchi,"Ponte Preta - AAPP😍 Casada, mãe, avó meus amores 💞","Campinas, São Paulo, Brasil ",0,0,1876,740,39867,"Poucas imagens traduzem tão bem a orgulhosa estupidez, que alguns resolveram exibir nos últimos tempos, quanto as… https://t.co/snbULJOVQO",[],2020-05-01 23:59:58
86,RebecaMVS,"Bienvenido a mi perfilirijillo. 
Mi amor por Centroamérica muere conmigo.","San José,Costa Rica.",2,0,615,538,25393,"Manden recetas con mostaza contra el COVID-19.

PORQUE AL PARECER HACE ALGO, EN WALMART NO HABÍA NI RASTRO DE LA MO… https://t.co/Rl3FHIW6EV",[],2020-05-01 23:59:58
87,CYC_Coolidge,"The Coolidge Youth Coalition is a 501(c)3 nonprofit org. in Coolidge, AZ. We help youth stay safe, healthy & drug-free through #prevention #education #awareness","Coolidge, AZ",0,0,1599,663,5535,Be the hero you were meant to be. Wear a mask. Keep everyone safe. #WearAMask #StayAtHomeAndStaySafe #COVID__19 https://t.co/JyozFbAOkP,"['WearAMask', 'StayAtHomeAndStaySafe', 'COVID__19']",2020-05-01 23:59:58
88,ayselde21935996,gurbet,,0,0,404,168,3326,"Turkish Cadet Enes Karaduran tested positive for coronavirus.

The Turkish government and @RTErdogan  is the real e… https://t.co/cbhqdEwQhx",[],2020-05-01 23:59:58
89,TheLookingGass,"#USMC,DAV, ReWriting a book (again).Most of my tweets are quotes from my 🐕 #VetsAgainstTrump  #MarinesAgainstTrump
#VetsResistSquadron
#resist #fbr #revolution","Indianapolis, IN",0,0,4318,3095,3228,"@MsJayePersists If alcohol and humidity killed #COVID__19 ,no one in Louisiana would have even heard of it.",['COVID__19'],2020-05-01 23:59:58
90,wildtakky39,"宮脇咲良／미야와키사쿠라／MiyawakiSakura／IZ*ONE／BLACKPINK／Photograph, Music, Thinking aloud and RT",IZ*ONE x WIZ*ONE,0,0,2413,5846,619006,Bruce Springsteen Releases 1981 New Jersey Concert for COVID-19 Relief https://t.co/brBIChCiik,[],2020-05-01 23:59:58
91,Dorothy69066047,living one day at a time ❤️,,0,0,880,55,563,Sen. Mitt Romney proposes a temporary pay raise for essential workers amid the coronavirus pandemic… https://t.co/ozen4YLQ7y,[],2020-05-01 23:59:58
92,dialogocp,"Contribuir a la gobernabilidad democrática a través de la implementación de espacios de diálogo culturalmente pertinentes, en el territorio nacional.","8a avenida 16-12 zona 1 Guatemala, Guatemala",0,0,640,970,3741,A las 19:00 horas brindaré actualización de datos COVID-19. #JuntosSaldremosAdelante https://t.co/NHfhhm5vJK,['JuntosSaldremosAdelante'],2020-05-01 23:59:58
